k,f,grad_norm,t_k
168,-131.0965950022423,2.3215117285470868,1.0
169,-131.12564038369447,2.2853249292843394,1.0
170,-131.1489769484902,2.2430879761003037,1.0
171,-131.17337354931118,2.2123803879645165,1.0
172,-131.19800524398016,2.1858662160657176,1.0
173,-131.21354957820387,2.1660345302534743,1.0
174,-131.22833226672594,2.1499835482820595,1.0
175,-131.2556576088245,2.1235465878003383,1.0
176,-131.28036995823845,2.0787818779875127,1.0
177,-131.30803135843755,2.0469539625848916,1.0
178,-131.33054924529222,2.0266062240339062,1.0
179,-131.35051930338113,2.0121948195368096,1.0
180,-131.37047693773283,1.9971224256766016,1.0
181,-131.38961240622362,1.9914874897915131,1.0
182,-131.40754461755444,1.955364404751988,1.0
183,-131.42175488661067,1.929478265560956,1.0
184,-131.43977772100965,1.9105624486089994,1.0
185,-131.45379283399345,1.8798892181087312,1.0
186,-131.46710626715816,1.8595812374225413,1.0
187,-131.48101873796935,1.845504571652675,1.0
188,-131.49356223976002,1.8321028356538647,1.0
189,-131.51372048863772,1.8069694716248852,1.0
190,-131.52885507321824,1.7815884946361402,1.0
191,-131.5504126750477,1.7410380265656518,1.0
192,-131.56254209645678,1.7217053775948412,1.0
193,-131.57750282101398,1.706321794879293,1.0
194,-131.59570428227602,1.6889095493043322,1.0
195,-131.60884462255672,1.6600247408993412,1.0
196,-131.6196801320359,1.6398712237930906,1.0
197,-131.63485602324974,1.6230295089592557,1.0
198,-131.646606503556,1.6151246278837685,1.0
199,-131.66176575733445,1.5800510787616222,1.0
200,-131.67148908948155,1.5659338644174339,1.0
201,-131.68119119650987,1.5385009361180157,1.0
202,-131.69202374500992,1.5184341695156716,1.0
203,-131.69939127823787,1.512484106617753,1.0
204,-131.7115813301723,1.4839355868075628,1.0
205,-131.72095431355805,1.4732004032525121,1.0
206,-131.73112194563123,1.4619165192494277,1.0
207,-131.74125935351378,1.4456551414479881,1.0
208,-131.74972412860097,1.4381062120943604,1.0
209,-131.7590394475734,1.4196962395896489,1.0
210,-131.7670913401044,1.4038541982169896,1.0
