k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
102,7.5721513285583635,3.6834264168422464,0.5810935980114579,0.00390625,7,4,10,0.0,0.0,10,992.672493764732
103,7.54705651303113,3.3148808099469718,0.5920189855531485,0.0078125,7,4,10,0.0,0.0,10,1526.7242393198528
104,7.5469679316001805,3.2764042495037424,0.5922241421968941,0.0078125,7,4,10,0.0,0.0,9,225.92317680390283
105,7.535481031957215,6.526476765274476,0.6053431404263071,0.25,7,4,10,0.0,0.0,10,118.25333286815479
106,7.5305791462049445,4.9388452010329384,0.6033914827062095,0.00390625,7,4,10,0.0,0.0,10,1461.4210196044862
107,7.493756120379135,4.124095543022072,0.6154476058567416,0.00390625,7,4,10,0.0,0.0,10,818028.5171303129
108,7.469190072779396,3.8872748913158275,0.6211652438391018,0.001953125,7,4,10,0.0,0.0,7,345.0569496410405
109,7.469187854531332,3.8750922601142457,0.6211234641352836,0.00390625,7,4,10,0.0,0.0,10,17217.06078674228
110,7.445935813454394,3.750921716744191,0.6323348467824803,0.00390625,7,4,10,0.0,0.0,10,36304.17791568493
111,7.4232398542045,3.6964854304412804,0.6383783496516104,0.00390625,7,4,10,0.0,0.0,10,1717943.7235253635
112,7.400969178725857,3.701199865136061,0.649325526041692,0.0078125,7,4,10,0.0,0.0,9,286.57834511547696
113,7.400849348319895,3.664112207294923,0.64946603242183,0.00390625,7,4,10,0.0,0.0,10,953.3956405298883
114,7.378550834793627,3.702738430864424,0.6555514920866201,0.00390625,7,4,10,0.0,0.0,10,24921.404724066862
115,7.357076107590983,3.824382907434002,0.6664148818221052,0.00390625,7,4,10,0.0,0.0,10,978119.1403332135
116,7.336168994094882,4.01958333842228,0.6723708935991669,0.015625,7,4,10,0.0,0.0,3,381.16284687236094
117,7.336160864563228,3.9516614032320962,0.6722094584460431,0.001953125,7,4,10,0.0,0.0,10,150.0421729112409
118,7.33616085411308,3.9433973904750306,0.672189806300281,0.015625,7,4,10,0.0,0.0,10,687.6919127772687
119,7.336158314884534,3.8828355734215543,0.6720583426296641,0.0009765625,7,4,10,0.0,0.0,10,581.6723783812974
120,7.336152142834306,3.884954463135562,0.6720860671318221,0.0078125,7,4,10,0.0,0.0,10,20599.528460050227
121,7.3361519875423555,3.8574383635034644,0.6720187250990199,0.001953125,7,4,10,0.0,0.0,7,375.0974301869285
122,7.336139825313261,3.8597590785009412,0.6720749485104573,0.00390625,7,4,10,0.0,0.0,10,9487.707899187393
123,7.315711912202624,4.122591051517175,0.6830380534085793,0.00390625,7,4,10,0.0,0.0,10,41677.36240691432
124,7.296322089620828,4.49899375313716,0.6886814803593466,0.125,7,4,10,0.0,0.0,10,224306.69920019095
125,7.295609137350865,3.9467714256011366,0.6879260464071381,0.00390625,7,4,10,0.0,0.0,10,27778603.50701643
126,7.275821104628598,4.329224202376876,0.6988014036000872,0.00390625,7,4,10,0.0,0.0,1,349.67932082382
127,7.275790205243778,4.3096566747446925,0.6988291039725306,0.00390625,7,4,10,0.0,0.0,10,8.770607861635398
128,7.2579543435497955,4.869691376720684,0.7042052765510608,0.125,7,4,10,0.0,0.0,10,1189.9162917153456
129,7.257613634953773,4.242296595481825,0.702971631928671,0.0078125,7,4,10,0.0,0.0,10,56752.0631622067
130,7.257056141284566,4.194231847237869,0.7029951825879048,0.0078125,7,4,10,0.0,0.0,10,92284.65939126855
131,7.25704521434135,4.164997382391823,0.7029402532556567,0.015625,7,4,10,0.0,0.0,10,6705031.32569798
132,7.256640056788206,4.1330450369591345,0.7031788105068837,0.015625,7,4,10,0.0,0.0,4,399.50235188920664
133,7.256613234924487,4.071051568458296,0.7030676499225289,0.00390625,7,4,10,0.0,0.0,10,42.85694371140637
134,7.237752722192821,4.597357410429599,0.7140157105883252,0.00390625,7,4,10,0.0,0.0,10,399.62767166508934
135,7.2223626587286125,5.3992905351429155,0.7191361636297408,0.125,7,4,10,0.0,0.0,10,10573.812202743227
136,7.221107051286122,4.579730753682393,0.7171589335601263,0.03125,7,4,10,0.0,0.0,10,347711.0300527478
137,7.219462708447946,4.411763385488761,0.7172265700400778,0.00390625,7,4,10,0.0,0.0,10,572074.8463098814
138,7.203216213073432,5.197688048380553,0.7287967125817435,0.015625,7,4,10,0.0,0.0,10,37744809.0478545
139,7.202853041143972,5.0898024690821035,0.7289209059706435,0.00390625,7,4,10,0.0,0.0,10,4451103.155320495
140,7.190973144155144,6.206204978155866,0.7335567479522143,0.125,7,4,10,0.0,0.0,1,456.4443457178401
141,7.187435777696766,5.333931208284235,0.7324456333012225,0.00390625,7,4,10,0.0,0.0,10,94.62537824401727
142,7.1754793703951565,6.53834145076505,0.7445975158603071,0.015625,7,4,10,0.0,0.0,10,1237036.9823945574
143,7.175348967001569,6.45613239767046,0.74426932029866,0.0078125,7,4,10,0.0,0.0,9,430.97045935754005
144,7.175116248944763,6.401522159293215,0.7442173455140166,0.00390625,7,4,10,0.0,0.0,10,5378.710327503958
145,7.174938484424082,8.224900722182111,0.7477876216249342,0.015625,7,4,10,0.0,0.0,10,260137.07112456902
146,7.174098951447987,8.070160476218595,0.7475552681477394,0.00390625,7,4,10,0.0,0.0,10,2281816.913854264
147,7.1739782141251,8.04229018351898,0.7475457239720315,0.001953125,7,4,10,0.0,0.0,9,473.1697789716264
148,7.114421352645203,2.7662275373205194,0.7545635991159005,0.0078125,7,4,10,0.0,0.0,10,4338.416819782019
149,7.08718730034254,5.4534327202960275,0.7696869826503,0.03125,7,4,10,0.0,0.0,10,130265.9989237239
150,7.087061571355272,5.25702195767752,0.7692498370442773,0.00390625,7,4,10,0.0,0.0,10,290233.854028678
151,7.0814076769815175,7.02762319751376,0.7810469128188462,0.03125,7,4,10,0.0,0.0,6,466.5966407262689
152,7.081245787658023,6.8310905431538025,0.7806218229962848,0.001953125,7,4,10,0.0,0.0,10,257.8840601108036
153,7.03843549454681,2.8081141873461926,0.782145581765849,0.0078125,7,4,10,0.0,0.0,10,600.1802062626876
154,7.015734814048441,6.053638548208299,0.8009513311158765,0.00390625,7,4,10,0.0,0.0,10,6945.457409300645
155,7.015688278219461,6.033335265425216,0.800910589286594,0.001953125,7,4,10,0.0,0.0,10,454701.405890812
156,6.9820602740362885,2.7814508726244456,0.8028678752049855,0.0078125,7,4,10,0.0,0.0,10,2972307.792661119
157,6.960849292545494,6.246486509498049,0.8215745988582343,0.015625,7,4,10,0.0,0.0,10,489.1427941149889
158,6.960741108150178,6.157947795416517,0.8213509384891221,0.001953125,7,4,10,0.0,0.0,10,149.91205462728573
159,6.927034901866337,2.9041294627735086,0.8232476862683259,0.0078125,7,4,10,0.0,0.0,10,4323.5809983093695
160,6.915443602780734,7.31900360208778,0.8421057238897934,0.00390625,7,4,10,0.0,0.0,10,216402.26247032214
161,6.915328299579894,7.286481647276069,0.8421244800750753,0.125,7,4,10,0.0,0.0,10,544873.5921499575
162,6.914937451701318,6.5410131383607615,0.8404823196679285,0.001953125,7,4,10,0.0,0.0,10,11760652.950516924
163,6.877505399002613,3.162057173969847,0.842155198994127,0.00390625,7,4,10,0.0,0.0,2,391.377771008851
164,6.858058247386952,3.9644058261201387,0.8515906627465638,0.00390625,7,4,10,0.0,0.0,10,617.0353634098659
165,6.848718650179449,5.828675752048195,0.857633758905978,0.0625,7,4,10,0.0,0.0,10,332398.44407246524
166,6.847850638662198,5.4241784208861015,0.8570979753035572,0.015625,7,4,10,0.0,0.0,6,534.3989871011873
167,6.847811343824679,5.32324577184854,0.856835149650823,0.00390625,7,4,10,0.0,0.0,10,334.37600110382385
168,6.847732186704952,5.271161406327161,0.8564963861032772,0.0078125,7,4,10,0.0,0.0,10,44068.60473591049
169,6.847699295425548,5.227132640650688,0.8563452398857748,0.015625,7,4,10,0.0,0.0,10,59114.72925016191
170,6.847685901337447,5.144310694197824,0.8562055445351019,0.015625,7,4,10,0.0,0.0,10,1200545.251172039
171,6.847670844897071,5.116072551176529,0.8564854675550075,0.001953125,7,4,10,0.0,0.0,5,525.9843429724142
172,6.822912914867288,2.8943902515842,0.8620641640703787,0.0078125,7,4,10,0.0,0.0,10,119.6591812382307
173,6.810313153009781,7.385437157428778,0.8764518928723818,0.015625,7,4,10,0.0,0.0,10,570.4874080141979
174,6.810008470708579,7.267301063552865,0.8764013507328289,0.125,7,4,10,0.0,0.0,10,1195.7031710938559
175,6.80730550509994,6.372421876505789,0.8757233886055372,0.001953125,7,4,10,0.0,0.0,10,10282.171548234986
176,6.773610531267101,3.3401330422387785,0.8814361011672919,0.00390625,7,4,10,0.0,0.0,10,46467.73875040023
177,6.757296333072623,4.6201049511702825,0.8878175019271425,0.001953125,7,4,10,0.0,0.0,10,248501.3034431106
178,6.73685941836207,2.877357465346712,0.8930978426948724,0.0078125,7,4,10,0.0,0.0,10,29686902.45932366
179,6.727700564585566,7.802781035064928,0.9072501241661195,0.5,7,4,10,0.0,0.0,2,597.8648345396442
180,6.721724932737284,3.8374710770925193,0.8991165614874082,0.0078125,7,4,10,0.0,0.0,10,755.3155505333048
181,6.72117502546827,3.7882009589136536,0.8990296928817431,0.00390625,7,4,10,0.0,0.0,10,1047.5759199526901
182,6.695701490120678,4.607533052009401,0.9104661123313114,0.00390625,7,4,10,0.0,0.0,10,64662.11453812286
183,6.6956558933591666,4.587107183703235,0.9104069442352853,0.001953125,7,4,10,0.0,0.0,10,32161785.82276077
184,6.675531281447397,2.957486634800088,0.9136458234335209,0.0078125,7,4,10,0.0,0.0,1,419.03196922918994
185,6.6720949653770685,8.48440921804164,0.9331886640155818,0.125,7,4,10,0.0,0.0,10,189478.7484491387
186,6.670941137891959,7.493809344366193,0.9324439858482665,0.015625,7,4,10,0.0,0.0,10,23658569.90150349
187,6.666484400430163,7.213125825823697,0.9328703476706851,0.0009765625,7,4,10,0.0,0.0,2,578.4547704984363
188,6.665963919752626,7.205514039921375,0.932647614236138,0.0078125,7,4,10,0.0,0.0,10,13292.512952754198
189,6.665945960055953,7.174883663993653,0.9322694864071029,0.001953125,7,4,10,0.0,0.0,10,249944.25686087002
190,6.628572187740893,4.039580444505817,0.9336623991556336,0.0078125,7,4,10,0.0,0.0,10,1725247.1061692252
191,6.628522294779167,3.98695134298087,0.9334357140977245,0.00390625,7,4,10,0.0,0.0,5,518.5863109368204
192,6.6215829277458464,6.46481432493822,0.9430091378821731,0.001953125,7,4,10,0.0,0.0,10,199.01853280485207
193,6.592275291515558,3.7946903114984356,0.9450761528049553,0.00390625,7,4,10,0.0,0.0,10,323.4895431604368
194,6.5864601231633575,6.348871350510145,0.9549045414713498,0.001953125,7,4,10,0.0,0.0,10,3279.5807057581796
195,6.558596120591679,3.8367780849884516,0.9570330259870758,0.001953125,7,4,10,0.0,0.0,10,4084050.182590015
196,6.558594942204891,3.831867288452278,0.9570435800119442,0.00390625,7,4,10,0.0,0.0,7,547.1269693277229
