iter,f,grad_norm,step_norm,gTd,alpha,armijo_iters,time_iter_sec,time_cum_sec,hvp_calls_iter,hvp_calls_cum,yk_resid_rel,inner_T,inner_r,inner_minres_total_iters,eta,lambda_min_PHPT,Lambda_shift,seed_outer,seed_Sk,seed_Rk_base
32,0.08713339970598494,0.013584705227269742,0.09691087342876945,-0.00110343307197783,1.0,0,9.188556374982,322.3303739170078,1094,34510,0.044883978272672924,100,50,981,0.11655344365255683,0.006673985190117008,0.0,0,1474792228,4956018
33,0.08606971258627165,0.012862234740646347,0.09458212415836556,-0.0010216533272393272,1.0,0,10.514917082851753,332.8454146250151,1092,35602,0.04233133464696562,100,50,979,0.11341179277591174,0.006446123973994963,0.0,0,619364895,2222946580
34,0.08508684572113716,0.012154803657355122,0.09443997229264955,-0.0009495122857872577,1.0,0,8.24213174986653,341.08777379198,1091,36693,0.04090271725226337,100,50,978,0.1102488261042045,0.006225861075510799,0.0,0,3256664409,342089568
35,0.08417704217545773,0.011551988682394649,0.09207790521072835,-0.0008807188776083477,1.0,0,8.296313958009705,349.3841991671361,1093,37786,0.037551223562040076,100,50,980,0.10748017809063515,0.006028907344315987,0.0,0,3807236267,1908926137
36,0.08333634113868028,0.010946713466797873,0.08775094724771783,-0.0007996356623594412,1.0,0,7.644879665924236,357.02923487499356,1092,38878,0.034375075752952226,100,50,979,0.10462654284070497,0.005848663350015994,0.0,0,2581425059,3780280340
37,0.08256731485747767,0.010389459101380519,0.0843551352832847,-0.0007333860441645797,1.0,0,8.328158209100366,365.35749575006776,1094,39972,0.0339073758399832,100,50,981,0.10192869616246703,0.005685490296358268,0.0,0,1242776543,1879598644
38,0.0818599973569358,0.009851166470688663,0.08433693752316535,-0.0006876294361909378,1.0,0,9.80566441710107,375.1633062500041,1096,41068,0.03231945548548994,100,50,983,0.09925304262685686,0.00552562505602344,0.0,0,4061652990,4022268685
39,0.08120221904080253,0.009336223870976476,0.08023127980035545,-0.0006246744255963564,1.0,0,9.44547799997963,384.6089698751457,1098,42166,0.029219727066920973,100,50,985,0.09662413710339915,0.0053856584463667975,0.0,0,3036935336,906357247
40,0.08060004359061174,0.008863412390836291,0.07759829186101874,-0.0005750128570854089,1.0,0,9.421773250214756,394.0309585421346,1099,43265,0.030355829151071118,100,50,986,0.09414569767565745,0.0052536952223485025,0.0,0,2079534017,2140746563
41,0.08004522809891228,0.008388323008620984,0.07733185528446258,-0.000540892436904217,1.0,0,8.27279833308421,402.30392575007863,1095,44360,0.030796827428307652,100,50,982,0.0915877885343946,0.00512310941151201,0.0,0,3750301975,2543105466
42,0.07952837518104369,0.007901514666148112,0.07357793818635762,-0.0004896225137926691,1.0,0,7.215783917112276,409.51982566714287,1102,45462,0.027920204590323128,100,50,989,0.08889046442756451,0.005006575840330998,0.0,0,2479225051,2233277275
43,0.0790558612623136,0.007479906396011998,0.07505003921530747,-0.0004634663713657877,1.0,0,9.310509083094075,418.83049370814115,1106,46568,0.027935631505599315,100,50,993,0.08648645209518077,0.004889985421960249,0.0,0,872681234,2962160392
44,0.07861462773582611,0.007108468468894235,0.07004977724321368,-0.0004175740721308433,1.0,0,8.09768708399497,426.92827466712333,1104,47672,0.023970595882950047,100,50,991,0.08431173387432045,0.004791661096905648,0.0,0,2676776808,870606752
45,0.07821314832368532,0.006717377012736536,0.06929134067076925,-0.00038612844614235625,1.0,0,8.948331125080585,435.8766935830936,1102,48774,0.02372141859336145,100,50,989,0.08195960598207226,0.00469231064328068,0.0,0,3597561654,4140183638
46,0.07784272716254242,0.006377962274954655,0.06543300669176443,-0.00034894323826123485,1.0,0,10.685756874969229,446.5625875419937,1108,49882,0.02206506432451008,100,50,995,0.07986214544422567,0.004611439939775796,0.0,0,3117823044,3862631786
47,0.07750508756951291,0.0060434855637857806,0.06396564454249598,-0.000322941791678479,1.0,0,8.038791874889284,454.6016112919897,1107,50989,0.02421593618726219,100,50,994,0.07773985826965328,0.004528351334116538,0.0,0,1006265482,1397685222
48,0.07719370318622802,0.00573173091956085,0.0633710168327148,-0.0003007739728658418,1.0,0,7.8387772077694535,462.44048954197206,1104,52093,0.02255366097271862,100,50,991,0.0757081958546157,0.004445511009851805,0.0,0,2037636310,3083179342
49,0.07690598323110656,0.005439938172118688,0.061071706081173724,-0.0002739402657587566,1.0,0,6.529642415931448,468.9702755000908,1108,53201,0.018990103244727292,100,50,995,0.07375593652119596,0.00437090069189754,0.0,0,3711047017,3952705891
50,0.0766432902899987,0.005157687287775671,0.05742740401932361,-0.00024670856606574766,1.0,0,7.365897542098537,476.33633616706356,1103,54304,0.01703402322665383,100,50,990,0.07181704037187603,0.004305115073542599,0.0,0,2728520507,902006810
51,0.07640477490877823,0.004856172279961112,0.057482591659778245,-0.00023019805820463735,1.0,0,9.135470458073542,485.47236325009726,1104,55408,0.019372872364300527,100,50,991,0.06968624168342781,0.004234594171968114,0.0,0,3878152381,559802607
52,0.07618421976141979,0.0045864303807043915,0.05538814143459335,-0.00021065129640367305,1.0,0,8.472708374960348,493.9451564580668,1108,56516,0.01645389804163802,100,50,995,0.06772318938668195,0.004171739867586807,0.0,0,1432964197,3022744492
53,0.07598258064476725,0.004314916679958855,0.05402725323014787,-0.0001924529096141728,1.0,0,10.508671083953232,504.4539216251578,1110,57626,0.014784229932736112,100,50,997,0.06568802539244771,0.004109242532095145,0.0,0,3181246862,3865939352
54,0.07579845459207601,0.004079264784158491,0.05124406708769493,-0.00017251688046049523,1.0,0,9.891704041976482,514.3458274579607,1111,58737,0.012657811845500773,100,50,998,0.06386912230615426,0.004057669022067888,0.0,0,3546758820,656758572
55,0.07563212209700208,0.00385002256250596,0.05213255946419212,-0.00016267745559321592,1.0,0,7.493468250147998,521.8395577501506,1108,59845,0.01421672770886034,100,50,995,0.06204855004354219,0.003997640689997385,0.0,0,2872184527,115879591
56,0.07547818043815864,0.0036264946321688312,0.04954523503751904,-0.00014598167631485075,1.0,0,8.75517874979414,530.5949116251431,1105,60950,0.007797992542214469,100,50,992,0.06022038385936137,0.003952222309304,0.0,0,3033561271,1512129376
