k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
91,7.656838256463965,4.44148258543449,0.5503406314815684,0.125,7,4,10,1e-08,1e-08,10,2823248.1289956104
92,7.655608527510715,3.8997155114258835,0.5499649028539544,0.00390625,7,4,10,1e-08,1e-08,8,284.8399011394547
93,7.655128924464277,3.9112485882549715,0.5502190786650404,0.001953125,7,4,10,1e-08,1e-08,10,36456.10249664926
94,7.655004979230278,3.910671842606987,0.5502990898497547,0.00390625,7,4,10,1e-08,1e-08,10,14308802.467932975
95,7.62629131202285,3.232789691034,0.5611421538797072,0.0078125,7,4,10,1e-08,1e-08,1,208.4499337711785
96,7.610712038762761,6.0643973702088605,0.5744712450699455,0.125,7,4,10,1e-08,1e-08,10,92.25834238368122
97,7.608096872056021,5.275811064766066,0.5735458391840385,0.00390625,7,4,10,1e-08,1e-08,10,46306.82076903144
98,7.571893743633648,4.2875045701391175,0.5861329020556433,0.00390625,7,4,10,1e-08,1e-08,10,296420.4853157425
99,7.545257591916543,3.794524518305072,0.5915720751585287,0.015625,7,4,10,1e-08,1e-08,7,323.9142267989655
100,7.5452518148037555,3.739753415960702,0.5914813359215754,0.00390625,7,4,10,1e-08,1e-08,10,49993.09536697914
101,7.520688746495531,3.4313539381165232,0.6025737603290945,0.0078125,7,4,10,1e-08,1e-08,9,242.49660125386782
102,7.519225845035532,7.33711763552607,0.615612455961524,0.5,7,4,10,1e-08,1e-08,10,81.68400306558877
103,7.510011893197935,4.600802625532217,0.6161103036320646,0.00390625,7,4,10,1e-08,1e-08,10,1124.2927190768285
104,7.510010446278109,4.584050710966552,0.6160526826282586,0.0078125,7,4,10,1e-08,1e-08,10,20765.791070769577
105,7.47451451997807,6.550660383814902,0.6360042861113319,0.00390625,7,4,10,1e-08,1e-08,10,650652.5016863102
106,7.472548852462408,6.463675575848556,0.6367347708658763,0.00390625,7,4,10,1e-08,1e-08,5,339.06676176769776
107,7.441068456951161,6.105255069089203,0.6393928439079065,0.03125,7,4,10,1e-08,1e-08,10,40546.53921589388
108,7.440075048627768,5.841103761429485,0.638800659922538,0.0009765625,7,4,10,1e-08,1e-08,10,357705.70895853953
109,7.440074787228412,5.846334970475443,0.6388669514628416,0.03125,7,4,10,1e-08,1e-08,6,381.19976930684226
110,7.439463834395527,5.624334268362837,0.6383576023280148,0.00390625,7,4,10,1e-08,1e-08,10,6194.095687970637
111,7.4149597079833995,5.561636447643941,0.6512386200751661,0.00390625,7,4,10,1e-08,1e-08,10,195648.76714105398
112,7.394085397360093,5.698664366646399,0.6554682182536902,0.5,7,4,10,1e-08,1e-08,10,1063236.9870143034
