k,f,grad_norm,alpha
238,-20.873882896668942,5.484126156715763,1.0
239,-20.89290556966869,5.498116777025456,1.0
240,-20.90808854087459,5.440133799249136,1.0
241,-20.921791102036916,5.433729149786052,1.0
242,-20.93909704187006,5.374212275961555,1.0
243,-20.95067898938897,5.387211252872787,1.0
244,-20.964178880054135,5.406376903281568,1.0
245,-20.97955194110582,5.383432837680438,1.0
246,-20.996531312396296,5.367388130954994,1.0
247,-21.009913106029316,5.35078183882743,1.0
248,-21.02253701754597,5.376491930789196,1.0
249,-21.034996465423795,5.40864173523543,1.0
250,-21.049292435018486,5.337061176965837,1.0
251,-21.061105430004602,5.301405218153874,1.0
252,-21.07487006806176,5.2853375163751295,1.0
253,-21.087550097699687,5.302418067216518,1.0
254,-21.100556171761532,5.245486320928198,1.0
255,-21.108684461476848,5.247213245903115,1.0
256,-21.126751471307585,5.167383535451138,1.0
257,-21.139372289974702,5.128989804173738,1.0
258,-21.154243003020902,5.083189230421903,1.0
259,-21.1669834830691,5.052305372285177,1.0
260,-21.18092876761366,5.036397393065817,1.0
261,-21.199682400834405,5.014983479043411,1.0
262,-21.214341771024984,4.984118701867191,1.0
263,-21.228794674150766,4.964631202644337,1.0
264,-21.240628496414036,4.9315230173855875,1.0
265,-21.253028390168204,4.9106148986101195,1.0
266,-21.26813380191853,4.872652097797691,1.0
267,-21.279190236284265,4.878136013715786,1.0
268,-21.292627649384336,4.87142678652979,1.0
269,-21.30412766394239,4.819582682943974,1.0
270,-21.317258645716908,4.8602832671120195,1.0
271,-21.330275985187004,4.881674651795328,1.0
272,-21.341452835677703,4.898112392262599,1.0
273,-21.351081237459425,4.8996672804174795,1.0
274,-21.359592643378978,4.874579701380962,1.0
275,-21.375306568304715,4.856869437089219,1.0
276,-21.3907449433916,4.85959001192438,1.0
277,-21.401530525561768,4.829836485007577,1.0
278,-21.414063428831096,4.804001887219054,1.0
279,-21.424451327502258,4.7377609949781405,1.0
280,-21.43570869463804,4.761355266721814,1.0
