k,f,grad_norm,alpha,rk_residual
122,-45.15420045741495,5.306230087936028e-08,1.862645149230957e-09,1.3779247074330642e-11
123,-45.15420045741495,5.306230086007814e-08,1.862645149230957e-09,1.236396468396807e-11
124,-45.15420045741495,5.3062300840796e-08,1.862645149230957e-09,1.189190735744688e-11
125,-45.15420045741495,5.3062300821513855e-08,1.862645149230957e-09,1.2128817537580604e-11
126,-45.15420045741495,5.306230080223171e-08,1.862645149230957e-09,1.2380822348280372e-11
127,-45.15420045741495,5.306230078294957e-08,1.862645149230957e-09,1.1887199863322772e-11
128,-45.15420045741495,5.306230076366743e-08,1.862645149230957e-09,1.1935621806879224e-11
129,-45.15420045741495,5.306230074438529e-08,1.862645149230957e-09,1.3015333008731502e-11
130,-45.15420045741495,5.306230072510314e-08,1.862645149230957e-09,1.5106719056879342e-11
131,-45.15420045741495,5.3062300705821e-08,1.862645149230957e-09,1.4336874187418078e-11
132,-45.15420045741495,5.306230068653886e-08,1.862645149230957e-09,1.3707138556169605e-11
133,-45.15420045741495,5.3062300667256714e-08,1.862645149230957e-09,1.4949271111575362e-11
134,-45.15420045741495,5.306230064797458e-08,1.862645149230957e-09,1.3637838812924741e-11
135,-45.15420045741495,5.3062300628692436e-08,1.862645149230957e-09,1.2429737286972737e-11
136,-45.15420045741495,5.306230060941029e-08,1.862645149230957e-09,1.3383840667431286e-11
137,-45.15420045741495,5.306230059012815e-08,1.862645149230957e-09,1.1739873402675255e-11
138,-45.15420045741495,5.306230057084601e-08,1.862645149230957e-09,1.2845713548348137e-11
139,-45.15420045741495,5.3062300551563866e-08,1.862645149230957e-09,1.4412572782860267e-11
140,-45.15420045741495,5.306230053228172e-08,1.862645149230957e-09,1.3880389844845264e-11
141,-45.15420045741495,5.306230051299959e-08,1.862645149230957e-09,1.4324502600077303e-11
142,-45.15420045741495,5.3062300493717445e-08,1.862645149230957e-09,1.4633177788632662e-11
143,-45.15420045741495,5.30623004744353e-08,1.862645149230957e-09,1.2775396013673334e-11
144,-45.15420045741495,5.306230045515316e-08,1.862645149230957e-09,1.450119347181736e-11
145,-45.15420045741495,5.306230043587101e-08,1.862645149230957e-09,1.3659427888314598e-11
146,-45.15420045741495,5.3062300416588874e-08,1.862645149230957e-09,1.3673653294492494e-11
147,-45.15420045741495,5.306230039730673e-08,1.862645149230957e-09,1.3962006071830601e-11
148,-45.15420045741495,5.306230037802459e-08,1.862645149230957e-09,1.4228869623342748e-11
149,-45.15420045741495,5.306230035874245e-08,1.862645149230957e-09,1.5184350213825006e-11
150,-45.15420045741495,5.3062300339460304e-08,1.862645149230957e-09,1.3574657073930886e-11
151,-45.15420045741495,5.306230032017817e-08,1.862645149230957e-09,1.3534907461986666e-11
152,-45.15420045741495,5.3062300300896026e-08,1.862645149230957e-09,1.4142113988434173e-11
153,-45.15420045741495,5.306230028161388e-08,1.862645149230957e-09,1.4670698365421358e-11
154,-45.15420045741495,5.306230026233174e-08,1.862645149230957e-09,1.434197145578343e-11
155,-45.15420045741495,5.30623002430496e-08,1.862645149230957e-09,1.3527751720553708e-11
156,-45.15420045741495,5.306230022376746e-08,1.862645149230957e-09,1.4402655906925827e-11
157,-45.15420045741495,5.306230020448531e-08,1.862645149230957e-09,1.5338208998055533e-11
158,-45.15420045741495,5.306230018520318e-08,1.862645149230957e-09,1.458518743684544e-11
159,-45.15420045741495,5.3062300165921034e-08,1.862645149230957e-09,1.4321833028728091e-11
160,-45.15420045741495,5.3062300146638885e-08,1.862645149230957e-09,1.2640210795812721e-11
161,-45.15420045741495,5.306230012735675e-08,1.862645149230957e-09,1.3642932095100983e-11
162,-45.15420045741495,5.306230010807461e-08,1.862645149230957e-09,1.4980220287945562e-11
163,-45.15420045741495,5.306230008879247e-08,1.862645149230957e-09,1.528944984474183e-11
164,-45.15420045741495,5.306230006951033e-08,1.862645149230957e-09,1.66511094926997e-11
165,-45.15420045741495,5.3062300050228186e-08,1.862645149230957e-09,1.5170425340270527e-11
166,-45.15420045741495,5.306230003094605e-08,1.862645149230957e-09,1.3167227256706039e-11
167,-45.15420045741495,5.30623000116639e-08,1.862645149230957e-09,1.3013777468117378e-11
168,-45.15420045741495,5.3062299992381764e-08,1.862645149230957e-09,1.3947211531528815e-11
169,-45.15420045741495,5.306229997309962e-08,1.862645149230957e-09,1.4082790925628241e-11
170,-45.15420045741495,5.3062299953817486e-08,1.862645149230957e-09,1.4130441385690278e-11
171,-45.15420045741495,5.306229993453534e-08,1.862645149230957e-09,1.4035721823357238e-11
172,-45.15420045741495,5.30622999152532e-08,1.862645149230957e-09,1.3500201378272504e-11
173,-45.15420045741495,5.306229989597106e-08,1.862645149230957e-09,1.3129234936933298e-11
174,-45.15420045741495,5.3062299876688916e-08,1.862645149230957e-09,1.4597540520022813e-11
175,-45.15420045741495,5.306229985740678e-08,1.862645149230957e-09,1.2090355135677542e-11
176,-45.15420045741495,5.306229983812464e-08,1.862645149230957e-09,1.1302074654264255e-11
177,-45.15420045741495,5.30622998188425e-08,1.862645149230957e-09,1.1599799165058318e-11
178,-45.15420045741495,5.306229979956036e-08,1.862645149230957e-09,1.3263318602209927e-11
179,-45.15420045741495,5.3062299780278216e-08,1.862645149230957e-09,1.4233787100511507e-11
180,-45.15420045741495,5.3062299760996074e-08,1.862645149230957e-09,1.3163570503817556e-11
181,-45.15420045741495,5.306229974171393e-08,1.862645149230957e-09,1.0710057315763904e-11
182,-45.15420045741495,5.3062299722431795e-08,1.862645149230957e-09,1.1120216049853225e-11
183,-45.15420045741495,5.306229970314965e-08,1.862645149230957e-09,1.2589053725808486e-11
184,-45.15420045741495,5.306229968386751e-08,1.862645149230957e-09,1.2225520856151935e-11
185,-45.15420045741495,5.3062299664585374e-08,1.862645149230957e-09,1.1295313382513917e-11
186,-45.15420045741495,5.306229964530323e-08,1.862645149230957e-09,1.2000352977244655e-11
187,-45.15420045741495,5.306229962602109e-08,1.862645149230957e-09,1.2328896216797437e-11
188,-45.15420045741495,5.306229960673895e-08,1.862645149230957e-09,1.408339778800091e-11
189,-45.15420045741495,5.306229958745681e-08,1.862645149230957e-09,1.4023919483323497e-11
190,-45.15420045741495,5.3062299568174674e-08,1.862645149230957e-09,1.3428122520591454e-11
191,-45.15420045741495,5.306229954889253e-08,1.862645149230957e-09,1.2119136177723585e-11
192,-45.15420045741495,5.306229952961039e-08,1.862645149230957e-09,1.099775974282127e-11
193,-45.15420045741495,5.306229951032825e-08,1.862645149230957e-09,1.3494229753624207e-11
194,-45.15420045741495,5.3062299491046104e-08,1.862645149230957e-09,1.4639676946275532e-11
195,-45.15420045741495,5.306229947176397e-08,1.862645149230957e-09,1.3624586483333758e-11
196,-45.15420045741495,5.3062299452481826e-08,1.862645149230957e-09,1.3753637471478756e-11
197,-45.15420045741495,5.306229943319968e-08,1.862645149230957e-09,1.3698098316008295e-11
198,-45.15420045741495,5.306229941391755e-08,1.862645149230957e-09,1.246699401943869e-11
199,-45.15420045741495,5.306229939463541e-08,1.862645149230957e-09,1.3414198410468886e-11
200,-45.15420045741495,5.306229937535326e-08,1.862645149230957e-09,1.4451095238695147e-11
201,-45.15420045741495,5.3062299356071126e-08,1.862645149230957e-09,1.366023765902061e-11
202,-45.15420045741495,5.306229933678899e-08,1.862645149230957e-09,1.206541691909935e-11
203,-45.15420045741495,5.306229931750684e-08,1.862645149230957e-09,1.1177069033031648e-11
204,-45.15420045741495,5.3062299298224705e-08,1.862645149230957e-09,1.33676027374275e-11
205,-45.15420045741495,5.306229927894257e-08,1.862645149230957e-09,1.5690739186582384e-11
206,-45.15420045741495,5.306229925966043e-08,1.862645149230957e-09,1.4039935659943846e-11
207,-45.15420045741495,5.3062299240378284e-08,1.862645149230957e-09,1.538456359152729e-11
208,-45.15420045741495,5.306229922109615e-08,1.862645149230957e-09,1.6897697923954336e-11
209,-45.15420045741495,5.306229920181401e-08,1.862645149230957e-09,1.6217553183855198e-11
210,-45.15420045741495,5.306229918253187e-08,1.862645149230957e-09,1.568272200719405e-11
211,-45.15420045741495,5.306229916324973e-08,1.862645149230957e-09,1.2033784736864262e-11
212,-45.15420045741495,5.306229914396759e-08,1.862645149230957e-09,1.2186746309012927e-11
213,-45.15420045741495,5.306229912468545e-08,1.862645149230957e-09,1.3525292232365873e-11
214,-45.15420045741495,5.306229910540331e-08,1.862645149230957e-09,1.3081345119421318e-11
215,-45.15420045741495,5.306229908612117e-08,1.862645149230957e-09,1.1352701823314033e-11
216,-45.15420045741495,5.306229906683903e-08,1.862645149230957e-09,1.2458107990176993e-11
217,-45.15420045741495,5.306229904755689e-08,1.862645149230957e-09,1.4786357104856525e-11
218,-45.15420045741495,5.306229902827475e-08,1.862645149230957e-09,1.5746592813340787e-11
219,-45.15420045741495,5.306229900899261e-08,1.862645149230957e-09,1.5644211048412873e-11
220,-45.15420045741495,5.306229898971047e-08,1.862645149230957e-09,1.5608832492901594e-11
221,-45.15420045741495,5.3062298970428334e-08,1.862645149230957e-09,1.2873030600117107e-11
222,-45.15420045741495,5.30622989511462e-08,1.862645149230957e-09,1.295874313383913e-11
223,-45.15420045741495,5.3062298931864056e-08,1.862645149230957e-09,1.4272660360694271e-11
224,-45.15420045741495,5.306229891258192e-08,1.862645149230957e-09,1.3929703834613307e-11
225,-45.15420045741495,5.306229889329978e-08,1.862645149230957e-09,1.1957735645372785e-11
226,-45.15420045741495,5.3062298874017635e-08,1.862645149230957e-09,1.0898701130129117e-11
