k,f,grad_norm,alpha,armijo_iters,gTd,step_norm,eta,lambda_min,inner_method,inner_T,inner_r,inner_solve_iters,hvp_calls_iter,time_iter_sec,seed
89,-1382168706.177695,190326.35159179027,1.0,0,-96886313.29449248,908.2935438792986,452.33869092548207,-8.037303116946333,rk,15,20,15,337,0.002835833001881838,1
90,-1468949494.0170696,198346.9264291746,1.0,0,-87946602.01869848,699.886379889505,462.04546021418724,-8.341946007311767,rk,15,20,15,337,0.002849291078746319,1
91,-1550713275.1913428,200430.12382530788,1.0,0,-107569219.76917604,959.0399036579081,464.71079307954176,-8.508281400158287,rk,15,20,15,337,0.0029504159465432167,1
92,-1647921490.8497806,209233.57993824754,1.0,0,-82529748.14002182,692.231523216345,473.74951958206384,-8.164473654702046,rk,15,20,15,337,0.0028683748096227646,1
93,-1725477862.0717266,213956.36619903738,1.0,0,-98132596.66446303,793.8707629018503,478.9131875610177,-8.179505529728287,rk,15,20,15,337,0.002943499945104122,1
94,-1816512098.1745996,218634.4457350432,1.0,0,-122753329.04469168,1024.3457394796194,484.56639134604984,-8.491383511519139,rk,15,20,15,337,0.0033353751059621572,1
95,-1925222819.8212533,225297.22788340677,1.0,0,-126975995.23151375,977.3761795917217,491.35645345565763,-8.350801066883141,rk,15,20,15,337,0.002858000108972192,1
96,-2039640497.4231758,230854.8865356355,1.0,0,-122440977.19317457,916.8661591877976,496.8641393518001,-8.195266429792738,rk,15,20,15,337,0.0029553750064224005,1
97,-2149812794.663885,237435.95124491153,1.0,0,-126879815.23166133,952.2705952314717,504.5986543702487,-8.6623270984629,rk,15,20,15,337,0.002868749899789691,1
98,-2266292416.794951,244458.28262714596,1.0,0,-124588618.19175166,862.7883076408189,511.14704043331267,-8.359906803506105,rk,15,20,15,337,0.002957249991595745,1
99,-2382559644.2209606,249803.58412813192,1.0,0,-192270614.13203943,1325.3078298876578,516.600848048053,-8.39865125713915,rk,15,20,15,337,0.0032767080701887608,1
